Title_old,Year_old,Locations_old,geometry_old,Director_old,Writer_old,Actor_1_old,Actor_2_old,Actor_3_old,Fun_Facts_old,match_key
Alcatraz,2012.0,Francisco St from Larkin to Polk,POINT (-122.4179 37.78517),J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,,alcatraz || 2012 || francisco st from larkin to polk
Alcatraz,2012.0,Leavenworth from Filbert & Francisco St,POINT (-122.41791 37.80175),J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,,alcatraz || 2012 || leavenworth from filbert & francisco st
Americana,2015.0,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,POINT (-122.38758 37.76056),Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,,americana || 2015 || 20th st and illinois/faxon st. and kenwood/glenbrook at mt. springs
Ant-Man and the Wasp: Quantumania,2023.0,Post between Leavenworth and Montgomery,POINT (-122.41499 37.78745),Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,,ant-man and the wasp: quantumania || 2023 || post between leavenworth and montgomery
Chance Season 2,2017.0,Embarcadero between Market to Fillmore St,POINT (-122.38998 37.79062),Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,,chance season 2 || 2017 || embarcadero between market to fillmore st
Chance Season 2,2017.0,Heron @ Berwick (off 8th and Harrison St),POINT (-122.40001 37.77148),Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,,chance season 2 || 2017 || heron @ berwick (off 8th and harrison st)
Dawn of the Planet of the Apes,2014.0,California St from Mason to Kearny,POINT (-122.41079 37.79183),Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,,dawn of the planet of the apes || 2014 || california st from mason to kearny
Etruscan Smile,2017.0,California Street between Sansome & Davis,POINT (-122.40114 37.7931),Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,,etruscan smile || 2017 || california street between sansome & davis
Looking,2014.0,BART from Civic Center to 24th St.,POINT (-122.41536 37.75244),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,,looking || 2014 || bart from civic center to 24th st.
Looking,2014.0,Castro St. from Market to 18th St.,POINT (-122.43548 37.76086),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,,looking || 2014 || castro st. from market to 18th st.
Looking,2014.0,Muni line N- Judah,POINT (-122.50219 37.76058),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,,looking || 2014 || muni line n- judah
Magnum Force,1973.0,280 Freeway at Pennsylvania and Mariposa Streets,POINT (-122.39375 37.76404),Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,,magnum force || 1973 || 280 freeway at pennsylvania and mariposa streets
Need For Speed,2014.0,Embarcadero from Broadway to Folsom,POINT (-122.38998 37.79062),Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots,,need for speed || 2014 || embarcadero from broadway to folsom
Quitters,2015.0,Clement St. from 5th and 7th Ave.,POINT (-122.46574 37.78288),Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,quitters || 2015 || clement st. from 5th and 7th ave.
Quitters,2015.0,Geary from 22nd Ave to Arguello,POINT (-122.46561 37.78102),Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,quitters || 2015 || geary from 22nd ave to arguello
San Andreas,2015.0,"Stage Work, 47 Julian St.",POINT (-122.42098 37.76744),Brad Peyton,Allan Loeb,Dwayne Johnson,,,,"san andreas || 2015 || stage work, 47 julian st."
Sense8 - Season 2,2016.0,Spofford between Washington and Clay,POINT (-122.40738 37.7946),Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,,sense8 - season 2 || 2016 || spofford between washington and clay
Super Pumped: The Battle for Uber,2022.0,Arkansas St. midblock between Mariposa & 17th St.,POINT (-122.39858 37.76374),"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,,super pumped: the battle for uber || 2022 || arkansas st. midblock between mariposa & 17th st.
Super Pumped: The Battle for Uber,2022.0,Grant Avenue between O'Farrell to Geary,POINT (-122.40487 37.78684),"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,,super pumped: the battle for uber || 2022 || grant avenue between o'farrell to geary
Surface,2022.0,Fremont Street between 1st Street and 2nd vStreet,POINT (-122.40083 37.78918),"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,,surface || 2022 || fremont street between 1st street and 2nd vstreet
Tales of the City,2019.0,Hyde St and Lombard St to Larkin and Lombard,POINT (-122.43476 37.80001),"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,,tales of the city || 2019 || hyde st and lombard st to larkin and lombard
The Diary of a Teenage Girl,2015.0,Geary St. from Polk to Larkin,POINT (-122.41974 37.7859),Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,,the diary of a teenage girl || 2015 || geary st. from polk to larkin
The OA Part II,2019.0,Hyde St at Pacific to Washington St,POINT (-122.41831 37.79546),Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,,the oa part ii || 2019 || hyde st at pacific to washington st
The Phone/Jexi,2019.0,Mash Transit - 284 Sanchez St,POINT (-122.43121 37.76453),"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,,the phone/jexi || 2019 || mash transit - 284 sanchez st
The Right Stuff,1983.0,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",POINT (-122.38734 37.75798),Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,,"the right stuff || 1983 || american can company (between illinois & kentucky, 20th and 22nd streets)"
Time After Time,1979.0,Intersection of Fulton & 6th Streets (Chinatown),POINT (-122.46376 37.77361),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,,time after time || 1979 || intersection of fulton & 6th streets (chinatown)
