,Title,Release Year,Locations,Director,Actor 1
0,A Jitney Elopement,1915,20th and Folsom Streets,Charles Chaplin,Charles Chaplin
1,A Jitney Elopement,1915,Golden Gate Park,Charles Chaplin,Charles Chaplin
2,Greed,1924,Hayes Street at Laguna,Eric von Stroheim,Zasu Pitts
3,Greed,1924,Bush and Sutter Streets,Eric von Stroheim,Zasu Pitts
4,Greed,1924,Cliff House (1090 Point Lobos Avenue),Eric von Stroheim,Zasu Pitts
5,The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Alan Crosland,Al Jolson
6,San Francisco,1936,The Barbary Coast,W.S. Van Dyke,Clark Gable
7,San Francisco,1936,City Hall,W.S. Van Dyke,Clark Gable
8,After the Thin Man,1936,Coit Tower,W.S. Van Dyke,William Powell
9,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Henry King,Tyrone Power
10,Alexander's Ragtime Band,1938,San Francisco Bay,Henry King,Tyrone Power
11,Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Henry King,Tyrone Power
12,The Maltese Falcon,1941,Golden Gate Bridge,John Huston,Humphrey Bogart
13,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",John Huston,Humphrey Bogart
14,Shadow of the Thin Man,1941,Bay Bridge,W.S. Van Dyke,William Powell
15,The Maltese Falcon,1941,Ferry Building,John Huston,Humphrey Bogart
16,Gentleman Jim,1942,The Barbary Coast,Raoul Walsh,Errol Flynn
17,The Lady from Shanghai,1947,Golden Gate Park,Orson Welles,Rita Hayworth
18,The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),Orson Welles,Rita Hayworth
19,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),Orson Welles,Rita Hayworth
20,The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Orson Welles,Rita Hayworth
21,Dark Passage,1947,Golden Gate Bridge,Delmer Daves,Humphrey Bogart
22,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),Vincent Sherman,Ann Sheridan
23,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),Delmer Daves,Humphrey Bogart
24,Dark Passage,1947,"Filbert Steps, Filbert Street",Delmer Daves,Humphrey Bogart
25,I Remember Mama,1948,Grant Avenue (North Beach),George Stevens,Irene Dunne
26,I Remember Mama,1948,The Ferry Building,George Stevens,Irene Dunne
27,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)",George Stevens,Irene Dunne
28,Woman on the Run,1950,772 Commercial Street at Kearney,Norman Foster,Ann Sheridan
29,D.O.A,1950,Powell & California Streets,Rudolph Mate,Edmond O'Brien
30,D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),Rudolph Mate,Edmond O'Brien
31,D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),Rudolph Mate,Edmond O'Brien
32,Woman on the Run,1950,Cable Car Signal Box (California Street at Powell Street),Norman Foster,Ann Sheridan
33,Woman on the Run,1950,1801 Laguna at Bush,Norman Foster,Ann Sheridan
34,Woman on the Run,1950,Former Hall of Justice (750 Kearny Street at Washington),Norman Foster,Ann Sheridan
35,All About Eve,1950,Curran Theater (445 Geary Street),Joseph L. Mankiewicz,Bette Davis
36,D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),Rudolph Mate,Edmond O'Brien
37,D.O.A,1950,The Embarcadero/ Ferry Building,Rudolph Mate,Edmond O'Brien
